1;0;9;-1;-1;
1;1;3;-1;-1;
1;2;14;-1;-1;
1;7;15;-1;-1;
1;16;8;-1;-1;
1;11;6;-1;-1;
1;12;4;-1;-1;
1;5;10;-1;-1;
1;13;17;-1;-1;
2;4;13;-1;-1;
2;3;5;-1;-1;
2;9;16;-1;-1;
2;15;11;-1;-1;
2;8;7;-1;-1;
2;17;2;-1;-1;
2;6;12;-1;-1;
2;14;0;-1;-1;
2;10;1;-1;-1;
3;0;2;-1;-1;
3;1;6;-1;-1;
3;7;4;-1;-1;
3;16;15;-1;-1;
3;11;10;-1;-1;
3;12;3;-1;-1;
3;8;9;-1;-1;
3;5;17;-1;-1;
3;13;14;-1;-1;
4;0;11;-1;-1;
4;4;5;-1;-1;
4;2;13;-1;-1;
4;3;9;-1;-1;
4;15;8;-1;-1;
4;17;1;-1;-1;
4;6;16;-1;-1;
4;14;12;-1;-1;
4;10;7;-1;-1;
5;1;2;-1;-1;
5;7;6;-1;-1;
5;9;15;-1;-1;
5;16;4;-1;-1;
5;11;17;-1;-1;
5;12;10;-1;-1;
5;8;3;-1;-1;
5;5;14;-1;-1;
5;13;0;-1;-1;
6;0;7;-1;-1;
6;4;15;-1;-1;
6;2;5;-1;-1;
6;3;11;-1;-1;
6;17;16;-1;-1;
6;6;8;-1;-1;
6;14;1;-1;-1;
6;10;9;-1;-1;
6;13;12;-1;-1;
7;1;13;-1;-1;
7;7;17;-1;-1;
7;9;4;-1;-1;
7;16;3;-1;-1;
7;11;14;-1;-1;
7;12;2;-1;-1;
7;15;6;-1;-1;
7;8;10;-1;-1;
7;5;0;-1;-1;
8;0;1;-1;-1;
8;4;8;-1;-1;
8;2;11;-1;-1;
8;3;7;-1;-1;
8;17;12;-1;-1;
8;6;9;-1;-1;
8;14;16;-1;-1;
8;10;15;-1;-1;
8;13;5;-1;-1;
9;4;6;-1;-1;
9;7;14;-1;-1;
9;9;2;-1;-1;
9;16;10;-1;-1;
9;11;13;-1;-1;
9;12;0;-1;-1;
9;15;3;-1;-1;
9;8;17;-1;-1;
9;5;1;-1;-1;
10;0;8;-1;-1;
10;1;11;-1;-1;
10;2;16;-1;-1;
10;3;4;-1;-1;
10;17;15;-1;-1;
10;14;9;-1;-1;
10;5;12;-1;-1;
10;10;6;-1;-1;
10;13;7;-1;-1;
11;4;10;-1;-1;
11;7;2;-1;-1;
11;9;17;-1;-1;
11;16;13;-1;-1;
11;11;5;-1;-1;
11;12;1;-1;-1;
11;15;0;-1;-1;
11;8;14;-1;-1;
11;6;3;-1;-1;
12;0;16;-1;-1;
12;1;4;-1;-1;
12;2;8;-1;-1;
12;3;10;-1;-1;
12;11;12;-1;-1;
12;17;6;-1;-1;
12;14;15;-1;-1;
12;5;7;-1;-1;
12;13;9;-1;-1;
13;4;0;-1;-1;
13;3;17;-1;-1;
13;7;12;-1;-1;
13;9;1;-1;-1;
13;16;11;-1;-1;
13;15;2;-1;-1;
13;8;5;-1;-1;
13;6;14;-1;-1;
13;10;13;-1;-1;
14;0;6;-1;-1;
14;1;16;-1;-1;
14;2;4;-1;-1;
14;11;7;-1;-1;
14;12;9;-1;-1;
14;17;10;-1;-1;
14;14;3;-1;-1;
14;5;15;-1;-1;
14;13;8;-1;-1;
15;4;17;-1;-1;
15;3;0;-1;-1;
15;7;1;-1;-1;
15;9;5;-1;-1;
15;16;12;-1;-1;
15;15;13;-1;-1;
15;8;11;-1;-1;
15;6;2;-1;-1;
15;10;14;-1;-1;
16;0;10;-1;-1;
16;1;15;-1;-1;
16;2;3;-1;-1;
16;7;9;-1;-1;
16;11;4;-1;-1;
16;12;8;-1;-1;
16;14;17;-1;-1;
16;5;16;-1;-1;
16;13;6;-1;-1;
17;4;14;-1;-1;
17;3;13;-1;-1;
17;9;11;-1;-1;
17;16;7;-1;-1;
17;15;12;-1;-1;
17;8;1;-1;-1;
17;17;0;-1;-1;
17;6;5;-1;-1;
17;10;2;-1;-1;
18;4;12;-1;-1;
18;3;1;-1;-1;
18;9;0;-1;-1;
18;15;7;-1;-1;
18;8;16;-1;-1;
18;17;13;-1;-1;
18;6;11;-1;-1;
18;14;2;-1;-1;
18;10;5;-1;-1;
19;0;14;-1;-1;
19;1;10;-1;-1;
19;2;17;-1;-1;
19;7;8;-1;-1;
19;16;9;-1;-1;
19;11;15;-1;-1;
19;12;6;-1;-1;
19;5;3;-1;-1;
19;13;4;-1;-1;
20;4;7;-1;-1;
20;2;0;-1;-1;
20;3;12;-1;-1;
20;9;8;-1;-1;
20;15;16;-1;-1;
20;17;5;-1;-1;
20;6;1;-1;-1;
20;14;13;-1;-1;
20;10;11;-1;-1;
21;1;17;-1;-1;
